loss,train,estimators,train_time,params,iteration
-0.7736921116290404,-0.7997294147760847,285.4,2.4227505558046687,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8111895790896237, 'learning_rate': 0.11843825623192138, 'min_child_samples': 465, 'num_leaves': 85, 'reg_alpha': 0.4754688784996676, 'reg_lambda': 0.9226103751804496, 'subsample_for_bin': 20000, 'subsample': 1.0}",63
-0.7721415175443728,-0.7954418312586383,103.4,1.3841076292574144,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7228933344179944, 'learning_rate': 0.19915995945009843, 'min_child_samples': 465, 'num_leaves': 84, 'reg_alpha': 0.4475318903637938, 'reg_lambda': 0.6202170518580661, 'subsample_for_bin': 20000, 'subsample': 1.0}",64
-0.7690932532795809,-0.8397046631569877,73.0,4.127528427386096,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6980588857627876, 'learning_rate': 0.1755543823608769, 'min_child_samples': 425, 'num_leaves': 76, 'reg_alpha': 0.5038406806759955, 'reg_lambda': 0.9001453134367345, 'subsample_for_bin': 20000, 'subsample': 0.7348645563232281}",65
-0.7557935392348012,-0.7635212759391693,86.6,1.2970744311678573,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7422640828483096, 'learning_rate': 0.14393745201753833, 'min_child_samples': 495, 'num_leaves': 90, 'reg_alpha': 0.3868823426779283, 'reg_lambda': 0.9294219342672347, 'subsample_for_bin': 40000, 'subsample': 1.0}",66
-0.7686110287283807,-0.8166895247461715,158.2,2.2719534284660767,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6260294796132355, 'learning_rate': 0.10180994934777172, 'min_child_samples': 370, 'num_leaves': 118, 'reg_alpha': 0.15640832440997515, 'reg_lambda': 0.9551888040457497, 'subsample_for_bin': 60000, 'subsample': 1.0}",67
-0.7744252418573279,-0.8007642778068604,320.0,2.571174846912072,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8138916596197904, 'learning_rate': 0.05361711060443822, 'min_child_samples': 435, 'num_leaves': 65, 'reg_alpha': 0.6215128521814168, 'reg_lambda': 0.8694893726507757, 'subsample_for_bin': 80000, 'subsample': 1.0}",68
-0.7733309055996216,-0.796466592328974,125.0,1.4844471422429706,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8124628499250208, 'learning_rate': 0.11908278870103237, 'min_child_samples': 445, 'num_leaves': 70, 'reg_alpha': 0.5537437789526909, 'reg_lambda': 0.803408988456749, 'subsample_for_bin': 80000, 'subsample': 1.0}",69
-0.7703894977714979,-0.7961782384023104,181.4,2.691061956568774,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.767643802668315, 'learning_rate': 0.055523878509306374, 'min_child_samples': 460, 'num_leaves': 78, 'reg_alpha': 0.6450613581916429, 'reg_lambda': 0.8580507372815646, 'subsample_for_bin': 80000, 'subsample': 1.0}",70
-0.7688509614591748,-0.7922153911822484,145.4,1.5447493816172937,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7877303274440313, 'learning_rate': 0.09377765415172935, 'min_child_samples': 500, 'num_leaves': 81, 'reg_alpha': 0.49870482250255616, 'reg_lambda': 0.9148725923125893, 'subsample_for_bin': 40000, 'subsample': 1.0}",71
-0.7704560335485232,-0.7897844668068925,71.4,1.3572816660707758,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8235159522873464, 'learning_rate': 0.07134895226668543, 'min_child_samples': 475, 'num_leaves': 64, 'reg_alpha': 0.6022013763872784, 'reg_lambda': 0.5980254159320294, 'subsample_for_bin': 20000, 'subsample': 1.0}",72
-0.7718698247710476,-0.8127949047924725,264.6,2.479696918669106,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7029667554180253, 'learning_rate': 0.044635258446668796, 'min_child_samples': 405, 'num_leaves': 87, 'reg_alpha': 0.011170757946408538, 'reg_lambda': 0.723828871503027, 'subsample_for_bin': 60000, 'subsample': 1.0}",73
-0.7676919164099344,-0.8072764513882996,423.8,2.94606988688156,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8807146049860929, 'learning_rate': 0.03096721452772552, 'min_child_samples': 435, 'num_leaves': 72, 'reg_alpha': 0.5618862942789764, 'reg_lambda': 0.8501260522607065, 'subsample_for_bin': 80000, 'subsample': 1.0}",74
